year,reporter_id,reporter_name,partner_id,partner_name,wits_import_trade_value_usd_thousands,wits_import_trade_value_usd,wits_bilateral_weighted_tariff_pct,wits_bilateral_simple_tariff_pct,wits_tariff_agreement_count,wits_rta_in_force
2023,AGO,Angola,JOR,Jordan,616.437913,616437.913,5.77502031435946,18.8958333333333,,
2023,AGO,Angola,JPN,Japan,189312.691322,189312691.322,7.68064569907528,10.0973856224733,,
2023,AGO,Angola,KAZ,Kazakhstan,140.447105,140447.10499999998,6.82537810037718,15.0928270032134,,
2023,AGO,Angola,KEN,Kenya,3569.959325,3569959.3249999997,31.3349204649204,15.382660687237,,
2023,AGO,Angola,KGZ,Kyrgyzstan,71.831023,71831.023,10.0,10.0,,
2023,AGO,Angola,KHM,Cambodia,31.599039,31599.039,10.9102028704101,12.7368421052632,,
2023,AGO,Angola,KNA,Saint Kitts and Nevis,0.696865,696.865,0.0,0.0,,
2023,AGO,Angola,KOR,South Korea,664804.516721,664804516.721,5.74252136782116,9.78217054448386,,
2023,AGO,Angola,KWT,Kuwait,1980.2475,1980247.5,3.90756392829302,10.8,,
2023,AGO,Angola,LAO,Lao People's Democratic Republic,9.307683,9307.683,2.26683480015007,4.66666666666667,,
2023,AGO,Angola,LBN,Lebanon,20447.38456,20447384.56,14.1812301536535,15.0127651902336,,
2023,AGO,Angola,LBR,Liberia,188.535864,188535.864,4.02502235317402,9.13333333333333,,
2023,AGO,Angola,LBY,Libya,427.212925,427212.925,0.859864670198975,16.3076923076923,,
2023,AGO,Angola,LCA,Saint Lucia,410.164581,410164.581,9.13199238217986,6.66666666666667,,
2023,AGO,Angola,LKA,Sri Lanka,1588.515283,1588515.283,7.600833618899,9.36363636363636,,
2023,AGO,Angola,MAC,Macao,2230.272395,2230272.395,8.98345128048858,6.11415525005288,,
2023,AGO,Angola,MAR,Morocco,18086.020564,18086020.564,10.1832124371418,12.8757575815374,,
2023,AGO,Angola,MDG,Madagascar,19.315645,19315.645,20.223149110475,18.6944444444444,,
2023,AGO,Angola,MEX,Mexico,49271.566776,49271566.776,2.15520070060925,8.91903531582165,,
2023,AGO,Angola,MKD,North Macedonia,125.024838,125024.838,12.7467924793215,15.0,,
2023,AGO,Angola,MLI,Mali,320.04481,320044.81,0.219200173190747,14.75,,
