year,reporter_id,partner_id,dataset,indicator_code,indicator_label,time_period,obs_value,series_count,pull_status,http_status,error_message,source_url,product_code,partner_code_raw,reporter_code_raw
2023,KOR,USA,tradestats-tariff,AHS-SMPL-AVRG,Effectively Applied Simple Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/kor/year/2023/partner/usa/indicator/AHS-SMPL-AVRG,,,
2023,KOR,USA,tradestats-tariff,TRF-NMBR-AGGRMNT,Number of Tariff Agreements,2023,1,1,success,200,,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/kor/year/2023/partner/usa/indicator/TRF-NMBR-AGGRMNT,999999,USA,KOR
2023,AUS,USA,tradestats-trade,MPRT-TRD-VL,Import Trade Value (US$ Thousand),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/aus/year/2023/partner/usa/indicator/MPRT-TRD-VL,,,
2023,AUS,USA,tradestats-tariff,AHS-WGHTD-AVRG,Effectively Applied Weighted Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/aus/year/2023/partner/usa/indicator/AHS-WGHTD-AVRG,,,
2023,AUS,USA,tradestats-tariff,AHS-SMPL-AVRG,Effectively Applied Simple Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/aus/year/2023/partner/usa/indicator/AHS-SMPL-AVRG,,,
2023,AUS,USA,tradestats-tariff,TRF-NMBR-AGGRMNT,Number of Tariff Agreements,2023,1,1,success,200,,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/aus/year/2023/partner/usa/indicator/TRF-NMBR-AGGRMNT,999999,USA,AUS
2023,CAN,AUS,tradestats-trade,MPRT-TRD-VL,Import Trade Value (US$ Thousand),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-trade/reporter/can/year/2023/partner/aus/indicator/MPRT-TRD-VL,,,
2023,CAN,AUS,tradestats-tariff,AHS-WGHTD-AVRG,Effectively Applied Weighted Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/can/year/2023/partner/aus/indicator/AHS-WGHTD-AVRG,,,
2023,CAN,AUS,tradestats-tariff,AHS-SMPL-AVRG,Effectively Applied Simple Average Tariff (%),,,0,http_error,404,Not Found - NoRecordsFound,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/can/year/2023/partner/aus/indicator/AHS-SMPL-AVRG,,,
2023,CAN,AUS,tradestats-tariff,TRF-NMBR-AGGRMNT,Number of Tariff Agreements,2023,2,1,success,200,,https://wits.worldbank.org/API/V1/SDMX/V21/datasource/tradestats-tariff/reporter/can/year/2023/partner/aus/indicator/TRF-NMBR-AGGRMNT,999999,AUS,CAN
