request_id,year,indicator,product_group,reporter_count,reporter_ids,reporter_names,wto_reporter_codes,expected_batch_filenames,priority_ranks
TTD_IMPORTS_2023_01,2023,Imports by partner ($US),Total - all products,5,"BRA,SAU,RUS,IDN,IND",Brazil | Saudi Arabia | Russia | Indonesia | India,"076,682,643,360,356","imports_BRA_2023.csv,imports_SAU_2023.csv,imports_RUS_2023.csv,imports_IDN_2023.csv,imports_IND_2023.csv","1,2,3,4,5"
TTD_IMPORTS_2023_02,2023,Imports by partner ($US),Total - all products,3,"ZAF,TUR,ARG",South Africa | Turkey | Argentina,"710,792,032","imports_ZAF_2023.csv,imports_TUR_2023.csv,imports_ARG_2023.csv","6,7,8"
