month,treatment,control,relative_effect
2016-05,98.13542688910697,98.26175869120654,-0.12633180209957118
2016-06,98.13542688910697,98.3640081799591,-0.22858129085213363
2016-07,98.13542688910697,98.46625766871163,-0.33083077960466767
2016-08,98.6261040235525,98.46625766871163,0.15984635484086596
2016-09,98.82237487733072,98.46625766871163,0.35611720861908225
2016-10,98.6261040235525,98.46625766871163,0.15984635484086596
2016-11,98.42983316977428,98.56850715746424,-0.13867398768995542
2016-12,98.03729146221784,98.77300613496932,-0.7357146727514845
2017-01,98.92051030421982,98.8752556237219,0.04525468049791925
2017-02,98.5279685966634,98.77300613496932,-0.24503753830592245
2017-03,98.7242394504416,98.8752556237219,-0.15101617328029704
2017-04,98.7242394504416,99.18200408997956,-0.457764639537956
2017-05,98.7242394504416,99.18200408997956,-0.457764639537956
2017-06,98.82237487733072,99.2842535787321,-0.461878701401389
2017-07,98.7242394504416,99.38650306748468,-0.6622636170430809
2017-08,98.42983316977428,99.38650306748468,-0.9566698977103982
2017-09,98.92051030421982,99.18200408997956,-0.2614937857597397
2017-10,99.11678115799803,99.59100204498978,-0.4742208869917448
2017-11,99.41118743866537,99.48875255623722,-0.0775651175718508
2017-12,98.82237487733072,99.59100204498978,-0.7686271676590621
2018-01,100.0,100.0,0.0
2018-02,100.39254170755645,99.59100204498978,0.8015396625666682
2018-03,100.78508341511284,100.30674846625767,0.4783349488551636
2018-04,101.6683022571148,100.20449897750512,1.463803279609678
2018-05,101.6683022571148,100.40899795501024,1.2593043021045673
2018-06,102.9440628066732,100.30674846625767,2.6373143404155286
2018-07,102.84592737978409,100.20449897750512,2.6414284022789616
2018-08,102.747791952895,100.40899795501024,2.338793997884764
2018-09,103.1403336604514,101.840490797546,1.2998428629054075
2018-10,103.1403336604514,101.94274028629856,1.197593374152845
2018-11,102.747791952895,102.04498977505112,0.7028021778438784
2018-12,102.25711481844944,102.04498977505112,0.2121250433983164
2019-01,105.20117762512268,103.47648261758692,1.7246950075357574
2019-02,105.6918547595682,103.47648261758692,2.215372141981277
2019-03,105.49558390579,104.3967280163599,1.098855889430098
2019-04,106.08439646712462,104.29447852760735,1.7899179395172666
2019-05,106.28066732090284,104.3967280163599,1.8839393045429347
2019-06,106.28066732090284,104.3967280163599,1.8839393045429347
2019-07,105.78999018645727,104.29447852760735,1.4955116588499209
2019-08,106.18253189401376,104.08997955010224,2.092552343911521
2019-09,106.77134445534836,104.29447852760735,2.4768659277410023
