month,treatment,control,relative_effect
2017-01,103.78136437800416,108.19850831899024,-4.4171439409860795
2017-02,102.75168673104908,108.3132530120482,-5.561566280999116
2017-03,102.4948185386074,107.89061005928475,-5.395791520677349
2017-04,101.0693654363452,105.70663606808186,-4.637270631736669
2017-05,101.86973585571285,105.55555555555556,-3.6858196998427104
2017-06,99.4057855977422,106.0566073819086,-6.650821784166411
2017-07,96.06870397318868,103.1497418244406,-7.081037851251921
2017-08,96.43691846364158,101.47829412889656,-5.041375665254989
2017-09,97.17224500595316,100.279212086441,-3.1069670804878484
2017-10,98.47863474004498,100.1510805125263,-1.6724457724813249
2017-11,92.76910526083697,100.78600114744694,-8.016895886609973
2017-12,95.06107509811704,100.72480397781602,-5.663728879698979
2018-01,100.0,100.0,0.0
2018-02,94.92768002822244,100.9829795371964,-6.05529950897396
2018-03,95.1184019050139,101.22776821572003,-6.109366310706136
2018-04,103.82766679895931,100.80130043985469,3.026366359104628
2018-05,110.454425188517,99.55632052017594,10.898104668341063
2018-06,112.44983904396526,97.71275578504496,14.737083258920293
2018-07,110.8887859946201,97.35131000191242,13.53747599270767
2018-08,109.5713718745866,96.29948364888124,13.271888225705368
2018-09,107.4657141597213,95.88640275387264,11.579311405848657
2018-10,108.21537240375712,97.5482883916619,10.667084012095216
2018-11,107.17136305507782,97.90399694014152,9.267366114936294
2018-12,107.63879701900603,95.81373111493592,11.825065904070115
2019-01,107.1956167041496,97.2461273666093,9.9494893375403
2019-02,103.34259381752436,99.12602792120865,4.216565896315714
2019-03,103.45173523834724,98.00917957544463,5.442555662902606
2019-04,106.90236803810026,96.63415567030025,10.268212367800018
2019-05,108.74013317458218,97.78925224708358,10.950880927498602
2019-06,107.97834810601049,97.68024478867852,10.298103317331964
2019-07,105.754729461569,96.42187798814304,9.332851473425961
2019-08,100.40239008687216,96.20960030598586,4.192789780886301
2019-09,100.3935705781188,96.0107095046854,4.3828610734334035
