month,treatment,control,relative_effect
2024-01,103.74660515035504,103.0716723549488,0.6749327954062352
2024-02,103.62226366938256,102.55972696245736,1.0625367069252007
2024-03,103.49465004417397,102.04778156996584,1.4468684742081308
2024-04,104.06400314125848,102.2184300341297,1.8455731071287858
2024-05,103.86767448709138,102.04778156996584,1.819892917125543
2024-06,103.13144203396484,101.5358361774744,1.595605856490451
2024-07,100.13415791368084,101.87713310580205,-1.7429751921212073
2024-08,99.65642485520762,102.55972696245736,-2.9033021072497434
2024-09,99.75786132652726,102.55972696245736,-2.801865635930099
2024-10,100.53335951048724,102.2184300341297,-1.6850705236424517
2024-11,100.54972023166782,100.51194539249148,0.03777483917633617
2024-12,100.0,100.0,0.0
2025-01,98.55044010339977,99.65870307167236,-1.108262968272598
2025-02,98.5962501227054,99.65870307167236,-1.062452948966964
2025-03,99.21795752756782,99.65870307167236,-0.44074554410454425
2025-04,98.93328097902555,106.14334470989762,-7.210063730872065
2025-05,98.10542848728772,106.14334470989762,-8.037916222609894
2025-06,97.77821406367592,106.31399317406142,-8.535779110385505
2025-07,97.50335394784202,106.14334470989762,-8.639990762055604
2025-08,96.17486338797814,105.97269624573376,-9.797832857755623
2025-09,96.36464775367298,104.6075085324232,-8.242860778750213
2025-11,97.0059880239521,105.11945392491468,-8.11346590096258
2025-12,97.05507018749388,105.11945392491468,-8.064383737420798
2026-01,96.72458361964595,106.31399317406142,-9.589409554415468
2026-02,98.91037596937274,107.679180887372,-8.768804917999262
