month,treatment,control,relative_effect
2024-08,93.2576206435428,85.88301340094168,7.374607242601115
2024-09,93.87845866934418,85.16660630206447,8.711852367279718
2024-10,95.73147473906862,86.50416515755161,9.227309581517005
2024-11,97.87078789742752,88.61897863093081,9.251809266496707
2024-12,96.11245038044795,89.32452010141252,6.787930279035436
2025-01,97.3907616045301,89.42701919594349,7.9637424085866115
2025-02,99.17925152684242,90.4049257515393,8.774325775303126
2025-03,94.61161440501012,94.91633466135458,-0.3047202563444671
2025-04,96.24708087025871,96.5881926838102,-0.34111181355149256
2025-05,95.01022920350914,93.10829409634192,1.901935107167219
2025-06,96.0969218917016,92.97863093082216,3.1182909608794347
2025-07,100.0,100.0,0.0
2025-08,101.41158485565288,105.49040202825064,-4.078817172597766
2025-09,96.89158853424634,107.17059036580947,-10.279001831563136
2025-10,100.98734051262105,109.2144150670047,-8.227074554383648
2025-11,104.2080696882392,112.98949655921766,-8.78142687097845
2025-12,107.42774352967072,116.0126765664614,-8.584933036790673
2026-01,112.6771265360766,118.97247374139803,-6.295347205321434
2026-02,114.15052382266164,125.78667149583484,-11.636147673173198
