series_id,series_label,role,notes
PCU335220335220,Major household appliance manufacturing,treatment,Known washer producer treatment series
PCU335210335210,Small electrical appliance manufacturing,control_candidate,Nearby appliance manufacturing candidate
PCU335221335221,Household cooking appliance manufacturing,control_candidate,Nearby major appliance subcategory
PCU335222335222,Household refrigerator and home freezer manufacturing,control_candidate,Nearby major appliance subcategory
PCU335224335224,Household laundry equipment manufacturing,exclude,Directly washer-exposed and not a valid control
PCU335228335228,Other major household appliance manufacturing,control_candidate,Nearby major appliance subcategory and strongest first-pass candidate
