event_id,case_id,display_order,primary_case_flag,notes
section201_washers_2018,washers_case_main,1,TRUE,Primary consumer-incidence case for the 2018 washer safeguard
section421_china_tires_2009,tires_case_main,1,TRUE,Primary upstream-incidence case for the 2009 China tire safeguard
section232_steel_2018,steel_case_main,1,TRUE,Primary upstream-incidence case for the 2018 steel Section 232 tariffs
section232_aluminum_2018,aluminum_case_main,1,TRUE,Primary upstream-incidence case for the 2018 aluminum Section 232 tariffs
section301_china_review_2025,semis_case_main,1,TRUE,Archived proxy case tied to the 2025-effective Section 301 semiconductor review action
section232_steel_aluminum_raise50_2025,steel_2025_raise50_case_main,1,yes
section232_copper_2025,copper_2025_case_main,1,yes
