year,reporter_id,reporter_name_wto,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average_mfn_pct,trade_weighted_mfn_pct,duty_free_share_ratio
2024,ALB,Albania,,,MFN,MFN applied,TOTAL,All products,3.5,3.5,
2024,DZA,Algeria,,,MFN,MFN applied,TOTAL,All products,18.9,13.8,
2024,AGO,Angola,,,MFN,MFN applied,TOTAL,All products,11.0,7.3,
2024,ATG,Antigua and Barbuda,,,MFN,MFN applied,TOTAL,All products,9.9,14.6,
2024,AZE,Azerbaijan,,,MFN,MFN applied,TOTAL,All products,7.8,7.1,
2024,ARG,Argentina,,,MFN,MFN applied,TOTAL,All products,12.5,11.3,
2024,AUS,Australia,,,MFN,MFN applied,TOTAL,All products,2.4,2.6,
2024,BHS,Bahamas,,,MFN,MFN applied,TOTAL,All products,30.3,12.8,
2024,BHR,"Bahrain, Kingdom of",,,MFN,MFN applied,TOTAL,All products,4.7,4.1,
2024,ARM,Armenia,,,MFN,MFN applied,TOTAL,All products,6.4,7.5,
2024,BRB,Barbados,,,MFN,MFN applied,TOTAL,All products,13.9,22.1,
2024,BOL,"Bolivia, Plurinational State of",,,MFN,MFN applied,TOTAL,All products,11.8,9.7,
2024,BIH,Bosnia and Herzegovina,,,MFN,MFN applied,TOTAL,All products,6.1,8.0,
2024,BWA,Botswana,,,MFN,MFN applied,TOTAL,All products,7.5,6.5,
2024,BRA,Brazil,,,MFN,MFN applied,TOTAL,All products,12.0,8.0,
2024,BLZ,Belize,,,MFN,MFN applied,TOTAL,All products,11.9,16.1,
2024,SLB,Solomon Islands,,,MFN,MFN applied,TOTAL,All products,9.6,8.2,
2024,BRN,Brunei Darussalam,,,MFN,MFN applied,TOTAL,All products,0.5,0.2,
2024,MMR,Myanmar,,,MFN,MFN applied,TOTAL,All products,7.6,5.3,
2024,BDI,Burundi,,,MFN,MFN applied,TOTAL,All products,14.0,13.9,
2024,BLR,Belarus,,,MFN,MFN applied,TOTAL,All products,6.6,5.4,
2024,KHM,Cambodia,,,MFN,MFN applied,TOTAL,All products,9.4,8.6,
2024,CMR,Cameroon,,,MFN,MFN applied,TOTAL,All products,18.1,13.9,
2024,CAN,Canada,,,MFN,MFN applied,TOTAL,All products,3.8,3.4,
2024,CPV,Cabo Verde,,,MFN,MFN applied,TOTAL,All products,11.9,11.7,
