year,batch_id,reporter_id,reporter_iso3,reporter_name,canonical_name,wto_reporter_code,expected_batch_filename,source_family,acquisition_status,notes
2025,RUS_2025,RUS,RUS,Russia,Russia,643,imports_RUS_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,SAU_2025,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,TUR_2025,TUR,TUR,Turkey,Turkey,792,imports_TUR_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,USA_2025,USA,USA,United States,United States,840,imports_USA_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2025,ZAF_2025,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2025.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,ARG_2024,ARG,ARG,Argentina,Argentina,032,imports_ARG_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,AUS_2024,AUS,AUS,Australia,Australia,036,imports_AUS_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,BRA_2024,BRA,BRA,Brazil,Brazil,076,imports_BRA_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,CAN_2024,CAN,CAN,Canada,Canada,124,imports_CAN_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,CHN_2024,CHN,CHN,China,China,156,imports_CHN_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,DEU_2024,DEU,DEU,Germany,Germany,276,imports_DEU_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,FRA_2024,FRA,FRA,France,France,250,imports_FRA_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,GBR_2024,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,IDN_2024,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,IND_2024,IND,IND,India,India,356,imports_IND_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,ITA_2024,ITA,ITA,Italy,Italy,380,imports_ITA_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,JPN_2024,JPN,JPN,Japan,Japan,392,imports_JPN_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,KOR_2024,KOR,KOR,South Korea,South Korea,410,imports_KOR_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,MEX_2024,MEX,MEX,Mexico,Mexico,484,imports_MEX_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,RUS_2024,RUS,RUS,Russia,Russia,643,imports_RUS_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,SAU_2024,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,TUR_2024,TUR,TUR,Turkey,Turkey,792,imports_TUR_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,USA_2024,USA,USA,United States,United States,840,imports_USA_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2024,ZAF_2024,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2024.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,ARG_2023,ARG,ARG,Argentina,Argentina,032,imports_ARG_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,AUS_2023,AUS,AUS,Australia,Australia,036,imports_AUS_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,BRA_2023,BRA,BRA,Brazil,Brazil,076,imports_BRA_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,CAN_2023,CAN,CAN,Canada,Canada,124,imports_CAN_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,CHN_2023,CHN,CHN,China,China,156,imports_CHN_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,DEU_2023,DEU,DEU,Germany,Germany,276,imports_DEU_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,FRA_2023,FRA,FRA,France,France,250,imports_FRA_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,GBR_2023,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,IDN_2023,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,IND_2023,IND,IND,India,India,356,imports_IND_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,ITA_2023,ITA,ITA,Italy,Italy,380,imports_ITA_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,JPN_2023,JPN,JPN,Japan,Japan,392,imports_JPN_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,KOR_2023,KOR,KOR,South Korea,South Korea,410,imports_KOR_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,MEX_2023,MEX,MEX,Mexico,Mexico,484,imports_MEX_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,RUS_2023,RUS,RUS,Russia,Russia,643,imports_RUS_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,SAU_2023,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,TUR_2023,TUR,TUR,Turkey,Turkey,792,imports_TUR_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,USA_2023,USA,USA,United States,United States,840,imports_USA_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2023,ZAF_2023,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2023.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,ARG_2022,ARG,ARG,Argentina,Argentina,032,imports_ARG_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,AUS_2022,AUS,AUS,Australia,Australia,036,imports_AUS_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,BRA_2022,BRA,BRA,Brazil,Brazil,076,imports_BRA_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,CAN_2022,CAN,CAN,Canada,Canada,124,imports_CAN_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,CHN_2022,CHN,CHN,China,China,156,imports_CHN_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,DEU_2022,DEU,DEU,Germany,Germany,276,imports_DEU_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,FRA_2022,FRA,FRA,France,France,250,imports_FRA_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,GBR_2022,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,IDN_2022,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,IND_2022,IND,IND,India,India,356,imports_IND_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,ITA_2022,ITA,ITA,Italy,Italy,380,imports_ITA_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,JPN_2022,JPN,JPN,Japan,Japan,392,imports_JPN_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,KOR_2022,KOR,KOR,South Korea,South Korea,410,imports_KOR_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,MEX_2022,MEX,MEX,Mexico,Mexico,484,imports_MEX_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,RUS_2022,RUS,RUS,Russia,Russia,643,imports_RUS_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,SAU_2022,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,TUR_2022,TUR,TUR,Turkey,Turkey,792,imports_TUR_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,USA_2022,USA,USA,United States,United States,840,imports_USA_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2022,ZAF_2022,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2022.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,ARG_2021,ARG,ARG,Argentina,Argentina,032,imports_ARG_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,AUS_2021,AUS,AUS,Australia,Australia,036,imports_AUS_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,BRA_2021,BRA,BRA,Brazil,Brazil,076,imports_BRA_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,CAN_2021,CAN,CAN,Canada,Canada,124,imports_CAN_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,CHN_2021,CHN,CHN,China,China,156,imports_CHN_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,DEU_2021,DEU,DEU,Germany,Germany,276,imports_DEU_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,FRA_2021,FRA,FRA,France,France,250,imports_FRA_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,GBR_2021,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,IDN_2021,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,IND_2021,IND,IND,India,India,356,imports_IND_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,ITA_2021,ITA,ITA,Italy,Italy,380,imports_ITA_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,JPN_2021,JPN,JPN,Japan,Japan,392,imports_JPN_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,KOR_2021,KOR,KOR,South Korea,South Korea,410,imports_KOR_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,MEX_2021,MEX,MEX,Mexico,Mexico,484,imports_MEX_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,RUS_2021,RUS,RUS,Russia,Russia,643,imports_RUS_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,SAU_2021,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,TUR_2021,TUR,TUR,Turkey,Turkey,792,imports_TUR_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,USA_2021,USA,USA,United States,United States,840,imports_USA_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2021,ZAF_2021,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2021.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,ARG_2020,ARG,ARG,Argentina,Argentina,032,imports_ARG_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,AUS_2020,AUS,AUS,Australia,Australia,036,imports_AUS_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,BRA_2020,BRA,BRA,Brazil,Brazil,076,imports_BRA_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,CAN_2020,CAN,CAN,Canada,Canada,124,imports_CAN_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,CHN_2020,CHN,CHN,China,China,156,imports_CHN_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,DEU_2020,DEU,DEU,Germany,Germany,276,imports_DEU_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,FRA_2020,FRA,FRA,France,France,250,imports_FRA_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,GBR_2020,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,IDN_2020,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,IND_2020,IND,IND,India,India,356,imports_IND_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,ITA_2020,ITA,ITA,Italy,Italy,380,imports_ITA_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,JPN_2020,JPN,JPN,Japan,Japan,392,imports_JPN_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,KOR_2020,KOR,KOR,South Korea,South Korea,410,imports_KOR_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,MEX_2020,MEX,MEX,Mexico,Mexico,484,imports_MEX_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,RUS_2020,RUS,RUS,Russia,Russia,643,imports_RUS_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,SAU_2020,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,TUR_2020,TUR,TUR,Turkey,Turkey,792,imports_TUR_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,USA_2020,USA,USA,United States,United States,840,imports_USA_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2020,ZAF_2020,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2020.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,ARG_2019,ARG,ARG,Argentina,Argentina,032,imports_ARG_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,AUS_2019,AUS,AUS,Australia,Australia,036,imports_AUS_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,BRA_2019,BRA,BRA,Brazil,Brazil,076,imports_BRA_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,CAN_2019,CAN,CAN,Canada,Canada,124,imports_CAN_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,CHN_2019,CHN,CHN,China,China,156,imports_CHN_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,DEU_2019,DEU,DEU,Germany,Germany,276,imports_DEU_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,FRA_2019,FRA,FRA,France,France,250,imports_FRA_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,GBR_2019,GBR,GBR,United Kingdom,United Kingdom,826,imports_GBR_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,IDN_2019,IDN,IDN,Indonesia,Indonesia,360,imports_IDN_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,IND_2019,IND,IND,India,India,356,imports_IND_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,ITA_2019,ITA,ITA,Italy,Italy,380,imports_ITA_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,JPN_2019,JPN,JPN,Japan,Japan,392,imports_JPN_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,KOR_2019,KOR,KOR,South Korea,South Korea,410,imports_KOR_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,MEX_2019,MEX,MEX,Mexico,Mexico,484,imports_MEX_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,RUS_2019,RUS,RUS,Russia,Russia,643,imports_RUS_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,SAU_2019,SAU,SAU,Saudi Arabia,Saudi Arabia,682,imports_SAU_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,TUR_2019,TUR,TUR,Turkey,Turkey,792,imports_TUR_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,USA_2019,USA,USA,United States,United States,840,imports_USA_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2019,ZAF_2019,ZAF,ZAF,South Africa,South Africa,710,imports_ZAF_2019.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2018,ARG_2018,ARG,ARG,Argentina,Argentina,032,imports_ARG_2018.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2018,AUS_2018,AUS,AUS,Australia,Australia,036,imports_AUS_2018.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2018,BRA_2018,BRA,BRA,Brazil,Brazil,076,imports_BRA_2018.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2018,CAN_2018,CAN,CAN,Canada,Canada,124,imports_CAN_2018.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2018,CHN_2018,CHN,CHN,China,China,156,imports_CHN_2018.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2018,DEU_2018,DEU,DEU,Germany,Germany,276,imports_DEU_2018.csv,wto_ttd_bilateral_imports,pending,Acquire one reporter-batch bilateral imports CSV for this reporter/year
