logical_dataset,batch_id,provider,enabled_flag,request_url,output_filename,auth_location,auth_name,subscription_env_var,timeout_seconds,notes
mfn_simple_average_all_products,ZAF_2003,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2003,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2003
mfn_simple_average_all_products,ZAF_2002,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2002,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2002
mfn_simple_average_all_products,ZAF_2001,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2001,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2001
mfn_simple_average_all_products,ZAF_2000,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=2000,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=2000
mfn_simple_average_all_products,ZAF_1999,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=1999,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=1999
mfn_simple_average_all_products,ZAF_1998,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=1998,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=1998
mfn_simple_average_all_products,ZAF_1997,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=1997,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=1997
mfn_simple_average_all_products,ZAF_1996,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=710&ps=1996,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=South Africa | year=1996
mfn_simple_average_all_products,USA_2026,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2026,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2026
mfn_simple_average_all_products,USA_2025,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2025,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2025
