year,reporter_id,reporter_name_wto,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average_mfn_pct,trade_weighted_mfn_pct,duty_free_share_ratio
2025,ARG,Argentina,,,MFN,MFN applied,TOTAL,All products,12.5,11.3,
2025,AUS,Australia,,,MFN,MFN applied,TOTAL,All products,2.4,2.6,
2025,BRA,Brazil,,,MFN,MFN applied,TOTAL,All products,12.0,8.0,
2025,CAN,Canada,,,MFN,MFN applied,TOTAL,All products,3.8,3.4,
2025,CHN,China,,,MFN,MFN applied,TOTAL,All products,7.5,3.3,
2025,IND,India,,,MFN,MFN applied,TOTAL,All products,16.2,12.0,
2025,IDN,Indonesia,,,MFN,MFN applied,TOTAL,All products,8.0,5.7,
2025,JPN,Japan,,,MFN,MFN applied,TOTAL,All products,3.7,1.9,
2025,KOR,"Korea, Republic of",,,MFN,MFN applied,TOTAL,All products,13.4,8.5,
2025,MEX,Mexico,,,MFN,MFN applied,TOTAL,All products,7.4,5.4,
2025,RUS,Russian Federation,,,MFN,MFN applied,TOTAL,All products,6.6,5.3,
2025,SAU,"Saudi Arabia, Kingdom of",,,MFN,MFN applied,TOTAL,All products,5.9,5.6,
2025,ZAF,South Africa,,,MFN,MFN applied,TOTAL,All products,7.5,5.6,
2025,TUR,T³rkiye,,,MFN,MFN applied,TOTAL,All products,17.3,7.0,
2025,GBR,United Kingdom,,,MFN,MFN applied,TOTAL,All products,3.7,3.6,
2025,USA,United States of America,,,MFN,MFN applied,TOTAL,All products,3.3,2.2,
