month,treatment,control,relative_effect
2017-03,93.86243386243387,87.48570121253717,6.376732649896709
2017-04,95.13227513227514,86.8451155342027,8.287159598072435
2017-05,95.34391534391534,84.48867536032945,10.85523998358589
2017-06,95.13227513227514,85.12926103866391,10.003014093611228
2017-07,94.021164021164,85.76984671699839,8.25131730416561
2017-08,95.1851851851852,90.36833676504232,4.81684842014289
2017-09,97.61904761904762,96.81994966826812,0.7990979507794975
2017-10,99.52380952380952,95.40150995195606,4.1222995718534605
2017-11,100.1058201058201,97.2088766872569,2.896943418563197
2017-12,99.3121693121693,94.44063143445436,4.8715378777149425
2018-01,100.0,100.0,0.0
2018-02,102.48677248677248,99.08487760237932,3.4018948843931582
2018-03,104.65608465608469,97.52916952642416,7.1269151296605315
2018-04,106.4021164021164,95.88194921070694,10.52016719140947
2018-05,111.69312169312168,96.1336078700526,15.559513823069082
2018-06,113.4920634920635,99.79409746053534,13.697966031528154
2018-07,110.31746031746032,91.51223976206818,18.80522055539214
2018-08,109.1005291005291,89.1329215282544,19.9676075722747
2018-09,108.14814814814817,87.57721345229925,20.57093469584892
2018-10,108.04232804232802,88.88126286890872,19.161065173419303
2018-11,106.984126984127,87.6458476321208,19.338279352006197
2018-12,106.08465608465607,89.01853122855182,17.066124856104253
2019-01,106.45502645502644,87.27979867307252,19.17522778195392
2019-02,106.34920634920636,91.12331274307938,15.225893606126974
2019-03,106.56084656084656,93.09082589796384,13.470020662882717
2019-04,107.14285714285714,93.80004575611989,13.342811386737253
2019-05,106.13756613756613,92.56463051933196,13.572935618234169
2019-06,105.18518518518518,88.88126286890872,16.303922316276456
2019-07,104.973544973545,89.77350720658887,15.200037766956129
2019-08,103.33333333333334,88.35506749027682,14.97826584305652
2019-09,102.75132275132276,88.53809196980096,14.213230781521801
