month,treatment,control,relative_effect
2024-06,89.75525106888288,103.38067280228498,-13.625421733402092
2024-07,86.63995862191385,100.05363376705807,-13.413675145144225
2024-08,84.24970083521299,98.1553475087274,-13.905646673514411
2024-09,82.93062131399908,98.8087908600444,-15.878169546045314
2024-10,83.68105820170594,100.75912408759125,-17.07806588588531
2024-11,85.18591063924859,103.0107902253253,-17.824879586076705
2024-12,81.56594020376872,101.16010790225324,-19.594167698484526
2025-01,80.05160018730318,102.50555379244685,-22.453953605143667
2025-02,82.28638410004193,104.38797207235795,-22.101587972316025
2025-03,87.94740820767393,99.58045065058712,-11.633042442913194
2025-04,92.9871489213235,101.30180894953982,-8.314660028216323
2025-05,100.0,100.0,0.0
2025-06,94.64043606136934,101.14376388448112,-6.503327823111775
2025-07,93.51018996581412,105.25182481751824,-11.74163485170412
2025-08,94.49995868312404,106.73754363694064,-12.237584953816608
2025-09,93.21668712107068,101.98016502697556,-8.763477905904878
2025-10,92.0188037693233,106.29101872421454,-14.27221495489124
2025-11,89.23098582066027,109.68089495398286,-20.449909133322592
2025-12,95.61306592643147,113.06966042526184,-17.45659449883037
2026-01,96.54101235527617,118.59473183116472,-22.053719475888556
