month,treatment,control,relative_effect
2008-09,100.36845983787768,97.03770197486534,3.3307578630123373
2008-10,103.75829034635228,97.66606822262118,6.092222123731105
2008-11,103.75829034635228,98.1149012567325,5.643389089619788
2008-12,103.75829034635228,98.1149012567325,5.643389089619788
2009-01,103.75829034635228,98.92280071813283,4.835489628219449
2009-02,103.6109064112012,99.7307001795332,3.880206231667998
2009-03,101.84229918938836,99.7307001795332,2.111599009855155
2009-04,101.0316875460575,99.5511669658887,1.4805205801688004
2009-05,101.0316875460575,99.5511669658887,1.4805205801688004
2009-06,101.0316875460575,99.64093357271096,1.3907539733465342
2009-07,100.0,99.82046678635548,0.17953321364451824
2009-08,100.0,100.0,0.0
2009-09,100.0,99.91023339317772,0.08976660682228044
2009-10,104.20044215180546,99.91023339317772,4.290208758627742
2009-11,104.20044215180546,100.0,4.200442151805461
2009-12,104.274134119381,100.0,4.274134119381003
2010-01,102.87398673544584,100.98743267504489,1.8865540604009539
2010-02,102.87398673544584,100.98743267504489,1.8865540604009539
2010-03,102.87398673544584,100.98743267504489,1.8865540604009539
2010-04,105.30582166543849,100.98743267504489,4.318388990393601
2010-05,105.30582166543849,101.1669658886894,4.138855776749082
2010-06,109.2114959469418,101.1669658886894,8.044530058252391
2010-07,109.2114959469418,101.61579892280072,7.595697024141074
2010-08,109.2114959469418,101.34649910233394,7.864996844607859
2010-09,109.2114959469418,100.98743267504489,8.22406327189691
2010-10,109.2114959469418,100.98743267504489,8.22406327189691
2010-11,111.27487103905676,100.98743267504489,10.287438364011877
2010-12,111.27487103905676,100.98743267504489,10.287438364011877
2011-01,112.2328666175387,100.98743267504489,11.245433942493818
2011-02,112.6750184229919,101.1669658886894,11.508052534302493
2011-03,115.77008106116432,101.34649910233394,14.423581958830383
2011-04,118.34929992630803,102.69299820466786,15.656301721640176
2011-05,118.05453205600588,102.69299820466786,15.361533851338024
2011-06,117.83345615327931,102.6032315978456,15.230224555433708
2011-07,117.83345615327931,103.32136445242368,14.512091700855635
2011-08,117.53868828297716,103.41113105924596,14.127557223731202
2011-09,117.53868828297716,103.59066427289048,13.948024010086684
