priority_rank,year,batch_id,reporter_id,reporter_iso3,reporter_name,canonical_name,wto_reporter_code,observed_partner_trade_usd_m_from_present_reporters,observed_present_reporter_count_importing_from_partner,priority_basis,source_portal,source_section,flow,product_scope,format,expected_batch_filename,expected_batch_path,download_status,source_family,notes
1,2023,RUS_2023,RUS,RUS,Russia,Russia,643,229369.723,13,observed trade from present reporters,WTO Data portal,INDICATORS,Imports by origin,TOTAL / All products,CSV,imports_RUS_2023.csv,C:\Users\Hayden.Stolzenberg\tarriff-tracker-git\data\raw\worldwide\wto_ttd\inbox\imports_batches\imports_RUS_2023.csv,pending,wto_ttd_bilateral_imports,Acquire one reporter-batch bilateral imports CSV for this reporter/year
2,2023,ZAF_2023,ZAF,ZAF,South Africa,South Africa,710,82920.347,13,observed trade from present reporters,WTO Data portal,INDICATORS,Imports by origin,TOTAL / All products,CSV,imports_ZAF_2023.csv,C:\Users\Hayden.Stolzenberg\tarriff-tracker-git\data\raw\worldwide\wto_ttd\inbox\imports_batches\imports_ZAF_2023.csv,pending,wto_ttd_bilateral_imports,Acquire one reporter-batch bilateral imports CSV for this reporter/year
3,2023,TUR_2023,TUR,TUR,Turkey,Turkey,792,50345.086,13,observed trade from present reporters,WTO Data portal,INDICATORS,Imports by origin,TOTAL / All products,CSV,imports_TUR_2023.csv,C:\Users\Hayden.Stolzenberg\tarriff-tracker-git\data\raw\worldwide\wto_ttd\inbox\imports_batches\imports_TUR_2023.csv,pending,wto_ttd_bilateral_imports,Acquire one reporter-batch bilateral imports CSV for this reporter/year
4,2023,DEU_2023,DEU,DEU,Germany,Germany,276,0.0,0,alphabetical fallback,WTO Data portal,INDICATORS,Imports by origin,TOTAL / All products,CSV,imports_DEU_2023.csv,C:\Users\Hayden.Stolzenberg\tarriff-tracker-git\data\raw\worldwide\wto_ttd\inbox\imports_batches\imports_DEU_2023.csv,pending,wto_ttd_bilateral_imports,Acquire one reporter-batch bilateral imports CSV for this reporter/year
5,2023,FRA_2023,FRA,FRA,France,France,250,0.0,0,alphabetical fallback,WTO Data portal,INDICATORS,Imports by origin,TOTAL / All products,CSV,imports_FRA_2023.csv,C:\Users\Hayden.Stolzenberg\tarriff-tracker-git\data\raw\worldwide\wto_ttd\inbox\imports_batches\imports_FRA_2023.csv,pending,wto_ttd_bilateral_imports,Acquire one reporter-batch bilateral imports CSV for this reporter/year
6,2023,ITA_2023,ITA,ITA,Italy,Italy,380,0.0,0,alphabetical fallback,WTO Data portal,INDICATORS,Imports by origin,TOTAL / All products,CSV,imports_ITA_2023.csv,C:\Users\Hayden.Stolzenberg\tarriff-tracker-git\data\raw\worldwide\wto_ttd\inbox\imports_batches\imports_ITA_2023.csv,pending,wto_ttd_bilateral_imports,Acquire one reporter-batch bilateral imports CSV for this reporter/year
