year,reporter_id,reporter_name_wto,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average_mfn_pct,trade_weighted_mfn_pct,duty_free_share_ratio
2023,AFG,Afghanistan,,,MFN,MFN applied,TOTAL,All products,6.5,5.7,
2023,ALB,Albania,,,MFN,MFN applied,TOTAL,All products,3.5,3.3,
2023,DZA,Algeria,,,MFN,MFN applied,TOTAL,All products,18.9,13.8,
2023,AGO,Angola,,,MFN,MFN applied,TOTAL,All products,11.0,7.3,
2023,ATG,Antigua and Barbuda,,,MFN,MFN applied,TOTAL,All products,9.9,14.6,
2023,AZE,Azerbaijan,,,MFN,MFN applied,TOTAL,All products,8.2,7.6,
2023,ARG,Argentina,,,MFN,MFN applied,TOTAL,All products,13.4,10.3,
2023,AUS,Australia,,,MFN,MFN applied,TOTAL,All products,2.4,2.5,
2023,BHS,Bahamas,,,MFN,MFN applied,TOTAL,All products,32.5,18.0,
2023,BHR,"Bahrain, Kingdom of",,,MFN,MFN applied,TOTAL,All products,4.5,4.2,
2023,ARM,Armenia,,,MFN,MFN applied,TOTAL,All products,6.3,6.5,
2023,BRB,Barbados,,,MFN,MFN applied,TOTAL,All products,13.9,22.1,
2023,BOL,"Bolivia, Plurinational State of",,,MFN,MFN applied,TOTAL,All products,11.8,9.7,
2023,BIH,Bosnia and Herzegovina,,,MFN,MFN applied,TOTAL,All products,6.2,7.5,
2023,BWA,Botswana,,,MFN,MFN applied,TOTAL,All products,7.5,5.6,
2023,BRA,Brazil,,,MFN,MFN applied,TOTAL,All products,11.2,6.7,
2023,BLZ,Belize,,,MFN,MFN applied,TOTAL,All products,11.9,16.7,
2023,SLB,Solomon Islands,,,MFN,MFN applied,TOTAL,All products,9.6,8.2,
2023,BRN,Brunei Darussalam,,,MFN,MFN applied,TOTAL,All products,0.5,0.1,
2023,MMR,Myanmar,,,MFN,MFN applied,TOTAL,All products,7.6,5.7,
2023,BDI,Burundi,,,MFN,MFN applied,TOTAL,All products,14.0,14.6,
